Name;Producer;Grape;Classification;Alcohol;Year;Aging;Price
Fattoria dei Barbi Brunello di Montalcino 2015;Fattoria dei Barbi;Sangiovese;DOCG Brunello di Montalcino;14.50;2015;Aged in barrique;29.50
Campo Alle Comete Bolgheri Stupore 2016;Campo alle Comete;Blend Red;DOC Bolgheri Rosso;14.00;2016;Aged in barrique;16.90
Il Poggione Brunello di Montalcino 2016;Il Poggione;Sangiovese;DOCG Brunello di Montalcino;14.50;2016;Aged in barrique;38.80
Leonardo da Vinci Vitruviano Chianti 2019;Cantine Leonardo da Vinci;Blend Red;DOCG Chianti;13.00;2019;No oak/wood;8.00
Guado al Tasso Bolgheri Il Bruciato 2019;Tenuta Guado al Tasso (Antinori);Blend Red;DOC Bolgheri Rosso;14.50;2019;Aged in barrique;18.90
Castello di Fonterutoli Chianti Classico 2018;Castello di Fonterutoli (Mazzei);Sangiovese;DOCG Chianti Classico;13.50;2018;Aged in wood;15.49
Pianirossi Maremma Toscana Rosso Solus 2016;Pianirossi;Blend Red;IGT Toscano o Toscana;13.50;2016;Aged in wood;13.42
Cantina di Montalcino Sangiovese Poggio del Sasso 2017;Cantina di Montalcino;Sangiovese;IGT Toscano o Toscana;12.50;2017;Aged in barrique;6.10
Il Poggione Brunello di Montalcino 2014;Il Poggione;Sangiovese;DOCG Brunello di Montalcino;14.50;2014;Aged in barrique;30.50
Salcheto Nobile di Montepulciano 2017;Salcheto;Sangiovese Grosso;DOCG Vino Nobile di Montepulciano;13.50;2017;Aged in big casks;15.90
Jacopo Biondi Santi Sassoalloro 2018;Jacopo Biondi Santi;Sangiovese;IGT Toscano o Toscana;13.50;2018;Aged in barrique;18.50
Stomennano Chianti 2019;Stomennano;Blend Red;DOCG Chianti;13.50;2019;Aged in barrique;6.71
Castello di Nipozzano Chianti Rufina Vecchie Viti Riserva 2016;Castello di Nipozzano (Frescobaldi);Blend Red;DOCG Chianti Rufina Riserva;13.50;2016;Aged in wood;18.50
Castello di Nipozzano Chianti Rufina Riserva 2017;Castello di Nipozzano (Frescobaldi);Sangiovese;DOCG Chianti Rufina Riserva;13.50;2017;Aged in barrique;12.90
Silvio Nardi 43° Rosso Toscana;Tenute Silvio Nardi;Blend Red;IGT Toscano o Toscana;14.50;2018;Aged in barrique;7.20
Borgo Salcetino Chianti Classico 2017;Borgo Salcetino (Livon);Blend Red;DOCG Chianti Classico;13.00;2017;Aged in barrique;10.39
Ornellaia Le Volte 2018;Ornellaia;Blend Red;IGT Toscano o Toscana;14.00;2018;Aged in barrique;19.00
Leonardo da Vinci Villa da Vinci Santo Ippolito 2018;Cantine Leonardo da Vinci;Blend Red;IGT Toscano o Toscana;13.50;2018;Aged in barrique;22.90
Cantina di Montalcino Brunello Montalcino 2015;Cantina di Montalcino;Sangiovese;DOCG Brunello di Montalcino ;13.50;2015;Aged in wood;24.40
Castello di Radda Chianti Gran Selezione Vigna il Corno 2015;Castello di Radda;Sangiovese;DOCG Chianti Classico Gran Selezione;15.00;2015;Aged in wood;33.31
Avignonesi Nobile di Montepulciano Bio 2016;Avignonesi;Sangiovese;DOCG Vino Nobile di Montepulciano;13.50;2016;Aged in barrique;18.80
Tenuta di Sesta Brunello di Montalcino 2015;Tenuta di Sesta;Sangiovese Grosso;DOCG Brunello di Montalcino;14.50;2015;Aged in wood;31.17
